epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0714,1.1681,1.89617,1.33616,0.35136,0.33612,0.23751,0.08727,2.11989,3.53838,2.28734,0.000654545,0.000654545,0.000654545
2,51.7394,1.19125,1.60203,1.3478,0.24041,0.21084,0.116,0.02629,2.86771,5.29082,3.84716,0.00129505,0.00129505,0.00129505
3,77.7427,1.23595,1.62344,1.39835,0.06047,0.15663,0.02326,0.00676,3.33854,24.3714,5.11309,0.00190916,0.00190916,0.00190916
4,103.986,1.24231,1.61986,1.40832,0.07121,0.12048,0.0236,0.00528,2.9932,17.9136,3.83694,0.0018812,0.0018812,0.0018812
5,130.325,1.17934,1.52814,1.36216,0.15265,0.24096,0.08731,0.02785,2.98722,7.31266,3.17451,0.0018416,0.0018416,0.0018416
6,156.63,1.15227,1.46343,1.34962,0.36809,0.27711,0.2232,0.06953,2.26182,4.1909,2.23737,0.001802,0.001802,0.001802
7,182.741,1.11494,1.40166,1.32367,0.41113,0.35542,0.25924,0.07887,2.32915,2.48025,2.41298,0.0017624,0.0017624,0.0017624
8,208.764,1.0926,1.35194,1.30049,0.28787,0.27711,0.20035,0.06736,2.22324,3.20018,2.14272,0.0017228,0.0017228,0.0017228
9,235.014,1.0795,1.33673,1.29525,0.64619,0.4181,0.46753,0.18224,1.99035,3.27054,1.95281,0.0016832,0.0016832,0.0016832
10,261.224,1.05618,1.30561,1.28185,0.56637,0.33047,0.35908,0.15893,1.97003,2.22716,2.11025,0.0016436,0.0016436,0.0016436
11,287.159,1.03435,1.23358,1.26366,0.62155,0.37597,0.40342,0.18679,1.86043,2.194,1.91932,0.001604,0.001604,0.001604
12,313.179,1.03854,1.22716,1.26418,0.70393,0.49398,0.5694,0.1962,2.13141,1.63532,2.01747,0.0015644,0.0015644,0.0015644
13,339.106,1.02524,1.21153,1.25221,0.61237,0.53295,0.57282,0.23638,1.84587,1.95702,1.91885,0.0015248,0.0015248,0.0015248
14,365.055,0.99067,1.15615,1.22831,0.80889,0.40964,0.52568,0.20785,2.09236,1.71281,2.01013,0.0014852,0.0014852,0.0014852
15,391.014,0.97949,1.14236,1.22261,0.78975,0.5241,0.60432,0.24565,2.13861,1.77264,2.05399,0.0014456,0.0014456,0.0014456
16,416.995,0.97832,1.10449,1.22624,0.79549,0.56237,0.65661,0.31257,1.62515,1.39577,1.69345,0.001406,0.001406,0.001406
17,442.966,0.96322,1.10158,1.20726,0.66442,0.57831,0.62862,0.27296,1.7045,1.80978,1.75665,0.0013664,0.0013664,0.0013664
18,468.949,0.95159,1.08743,1.20253,0.67518,0.58854,0.60935,0.26308,1.82726,1.71434,1.86621,0.0013268,0.0013268,0.0013268
19,494.962,0.93965,1.08137,1.19779,0.79792,0.54217,0.63864,0.27732,1.95071,1.46811,1.93694,0.0012872,0.0012872,0.0012872
20,521.001,0.94403,1.05571,1.20061,0.73335,0.60241,0.66999,0.29931,1.91054,1.52684,1.94397,0.0012476,0.0012476,0.0012476
21,547.02,0.92129,1.02571,1.18423,0.7705,0.56629,0.63718,0.24541,2.05747,1.68117,2.08383,0.001208,0.001208,0.001208
22,573.062,0.92762,1.02645,1.18075,0.80827,0.55871,0.65126,0.30214,1.62844,1.30388,1.66525,0.0011684,0.0011684,0.0011684
23,599.038,0.90611,0.98329,1.17059,0.70537,0.57689,0.63791,0.29271,1.72656,1.43828,1.78529,0.0011288,0.0011288,0.0011288
24,625.078,0.89178,0.97228,1.16505,0.87792,0.59036,0.67552,0.33609,1.70224,1.33667,1.77684,0.0010892,0.0010892,0.0010892
25,651.059,0.89523,0.9557,1.16268,0.77785,0.65388,0.69218,0.35411,1.66227,1.30917,1.694,0.0010496,0.0010496,0.0010496
26,677.112,0.88864,0.9443,1.15325,0.92998,0.64005,0.75441,0.35599,1.76558,1.16226,1.81793,0.00101,0.00101,0.00101
27,703.107,0.86525,0.91336,1.14277,0.82981,0.64622,0.71753,0.35671,1.77051,1.18122,1.81051,0.0009704,0.0009704,0.0009704
28,729.174,0.86338,0.91475,1.14603,0.79444,0.66265,0.72718,0.34455,1.86426,1.18843,1.78694,0.0009308,0.0009308,0.0009308
29,755.206,0.85517,0.89862,1.13853,0.81159,0.6747,0.7355,0.39434,1.51371,1.1123,1.5984,0.0008912,0.0008912,0.0008912
30,781.235,0.84679,0.88578,1.13274,0.91284,0.62651,0.73392,0.3735,1.60812,1.13913,1.70067,0.0008516,0.0008516,0.0008516
31,807.252,0.84493,0.86507,1.12803,0.86122,0.65663,0.77027,0.41111,1.51757,1.09407,1.56384,0.000812,0.000812,0.000812
32,833.249,0.84016,0.85355,1.12792,0.85622,0.6506,0.74358,0.40051,1.54215,1.16506,1.62141,0.0007724,0.0007724,0.0007724
33,859.339,0.82008,0.84061,1.11329,0.85948,0.64458,0.71374,0.38441,1.68486,1.23099,1.76027,0.0007328,0.0007328,0.0007328
